Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),Fertilizer_per_Acre,Yield_per_Acre,Water_per_Ton_Yield,Efficiency_Score
F001,Cotton,329.4,Sprinkler,8.14,2.21,14.44,Loamy,Kharif,76648.2,0.02,0.04,5308.05,17.74
F002,Carrot,18.67,Manual,4.77,4.36,42.91,Peaty,Kharif,68725.54,0.26,2.3,1601.62,89.96
F003,Sugarcane,306.03,Flood,2.91,0.56,33.44,Silty,Kharif,75538.56,0.01,0.11,2258.93,114.91
F004,Tomato,380.21,Rain-fed,3.32,4.35,34.08,Silty,Zaid,45401.23,0.01,0.09,1332.2,102.65
F005,Tomato,135.56,Sprinkler,8.33,4.48,43.28,Clay,Zaid,93718.69,0.06,0.32,2165.4,51.96
F006,Sugarcane,12.5,Sprinkler,6.42,2.25,38.18,Loamy,Zaid,46487.98,0.51,3.05,1217.6,59.47
F007,Soybean,360.06,Drip,1.83,2.37,44.93,Sandy,Rabi,40583.57,0.01,0.12,903.26,245.52
F008,Rice,464.6,Drip,5.18,0.91,4.23,Silty,Kharif,9392.38,0.01,0.01,2220.42,8.17
F009,Maize,389.37,Drip,0.57,4.93,3.86,Peaty,Rabi,60202.14,0.0,0.01,15596.41,67.72
F010,Soybean,184.37,Drip,2.18,2.67,17.25,Sandy,Kharif,90922.15,0.01,0.09,5270.85,79.13
F011,Rice,279.95,Drip,8.02,1.24,32.85,Clay,Zaid,5869.75,0.03,0.12,178.68,40.96
F012,Sugarcane,145.32,Flood,3.01,2.27,8.08,Clay,Kharif,88976.51,0.02,0.06,11011.94,26.84
F013,Wheat,329.1,Drip,5.26,0.83,5.44,Clay,Zaid,45922.35,0.02,0.02,8441.61,10.34
F014,Rice,246.02,Flood,1.01,3.45,11.38,Sandy,Rabi,71953.14,0.0,0.05,6322.77,112.67
F015,Sugarcane,305.15,Rain-fed,5.39,2.15,28.77,Peaty,Kharif,33615.77,0.02,0.09,1168.43,53.38
F016,Barley,60.22,Flood,2.19,0.35,16.03,Sandy,Zaid,25132.48,0.04,0.27,1567.84,73.2
F017,Carrot,284.01,Manual,5.89,0.81,47.7,Loamy,Zaid,88301.46,0.02,0.17,1851.18,80.98
F018,Maize,128.23,Rain-fed,4.91,0.77,16.67,Loamy,Rabi,18660.03,0.04,0.13,1119.38,33.95
F019,Maize,460.93,Drip,1.09,1.31,39.96,Sandy,Zaid,54314.28,0.0,0.09,1359.22,366.61
F020,Barley,58.85,Sprinkler,3.61,3.32,18.85,Sandy,Kharif,92481.89,0.06,0.32,4906.2,52.22
F021,Cotton,377.05,Drip,5.95,0.91,29.17,Clay,Rabi,26743.55,0.02,0.08,916.82,49.03
F022,Wheat,92.67,Flood,6.95,3.64,30.7,Clay,Rabi,42874.34,0.07,0.33,1396.56,44.17
F023,Potato,15.67,Drip,9.95,2.99,18.13,Loamy,Zaid,41862.86,0.63,1.16,2309.04,18.22
F024,Rice,483.88,Drip,6.31,2.29,34.46,Clay,Zaid,61383.07,0.01,0.07,1781.28,54.61
F025,Barley,75.64,Flood,6.69,3.57,6.14,Silty,Zaid,43847.82,0.09,0.08,7141.34,9.18
F026,Wheat,162.28,Flood,5.85,2.42,24.63,Loamy,Rabi,65838.4,0.04,0.15,2673.1,42.1
F027,Cotton,375.1,Rain-fed,0.5,4.76,22.51,Clay,Kharif,39362.44,0.0,0.06,1748.66,450.2
F028,Tomato,256.19,Flood,7.32,2.19,48.02,Silty,Rabi,81313.04,0.03,0.19,1693.32,65.6
F029,Wheat,288.52,Manual,1.79,4.78,36.9,Silty,Zaid,23208.04,0.01,0.13,628.94,206.15
F030,Potato,286.52,Rain-fed,8.91,0.77,30.5,Loamy,Zaid,93407.38,0.03,0.11,3062.54,34.23
F031,Barley,136.16,Flood,5.89,1.36,11.86,Clay,Zaid,30098.35,0.04,0.09,2537.8,20.14
F032,Carrot,350.42,Flood,8.4,2.94,24.34,Clay,Rabi,71580.87,0.02,0.07,2940.87,28.98
F033,Barley,446.76,Drip,7.79,0.96,46.47,Loamy,Zaid,93656.06,0.02,0.1,2015.41,59.65
F034,Tomato,264.12,Drip,4.75,4.79,12.92,Loamy,Rabi,92745.01,0.02,0.05,7178.41,27.2
F035,Soybean,266.03,Drip,8.57,1.35,34.45,Silty,Zaid,43610.21,0.03,0.13,1265.9,40.2
F036,Cotton,446.16,Manual,4.35,3.47,12.53,Loamy,Zaid,38874.28,0.01,0.03,3102.5,28.8
F037,Soybean,156.1,Manual,1.18,4.43,40.15,Loamy,Zaid,73646.55,0.01,0.26,1834.29,340.25
F038,Barley,431.22,Drip,5.71,3.18,45.95,Silty,Kharif,36065.94,0.01,0.11,784.9,80.47
F039,Cotton,220.48,Flood,9.96,2.91,10.53,Clay,Zaid,82549.03,0.05,0.05,7839.41,10.57
F040,Cotton,166.82,Rain-fed,2.85,1.36,46.19,Sandy,Zaid,12007.7,0.02,0.28,259.96,162.07
F041,Rice,370.79,Flood,8.18,4.99,35.01,Sandy,Kharif,85208.71,0.02,0.09,2433.84,42.8
F042,Sugarcane,418.99,Sprinkler,0.78,0.58,26.29,Clay,Zaid,33705.69,0.0,0.06,1282.07,337.05
F043,Cotton,78.79,Flood,1.35,3.0,11.45,Sandy,Zaid,94754.73,0.02,0.15,8275.52,84.81
F044,Soybean,84.12,Manual,4.64,2.53,24.77,Sandy,Rabi,40614.4,0.06,0.29,1639.66,53.38
F045,Tomato,326.69,Sprinkler,5.24,0.55,18.34,Peaty,Kharif,37466.11,0.02,0.06,2042.86,35.0
F046,Carrot,112.8,Sprinkler,1.8,1.01,31.57,Clay,Kharif,79966.1,0.02,0.28,2532.98,175.39
F047,Potato,347.66,Drip,3.86,2.68,31.47,Sandy,Kharif,86989.88,0.01,0.09,2764.22,81.53
F048,Potato,77.39,Sprinkler,9.34,3.0,20.53,Silty,Zaid,5874.17,0.12,0.27,286.13,21.98
F049,Barley,462.37,Sprinkler,2.3,0.14,39.51,Clay,Kharif,53879.87,0.0,0.09,1363.7,171.78
F050,Tomato,292.25,Rain-fed,4.08,0.76,45.14,Silty,Kharif,90232.08,0.01,0.15,1998.94,110.64
